Model inputs,,,,,,,,,,,,,,,,,,,,,,
Latitude = 53.15283 deg,,,,,,,,,,,,,,,,,,,,,,
Longitude = 13.02655 deg,,,,,,,,,,,,,,,,,,,,,,
Lake depth = 4.5 m,,,,,,,,,,,,,,,,,,,,,,
Lake fetch = 4000 m,,,,,,,,,,,,,,,,,,,,,,
Extinction coefficient = 0.4,,,,,,,,,,,,,,,,,,,,,,
Initial surface temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial mixed layer thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Initial mean temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial bottom temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial ice thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Perpetual-year simulation = No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Results from FLAKE simulations.,,,,,,,,,,,,,,,,,,,,,,
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s),Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),Latent heat flux (W/m2),Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2),surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
31,2017-11-08 18:00,2.12710,3.00735,3.89151,0.00000,6.6715E-05,0.00000,-71.5659,5.84329E-02,2.46801E-02,0.00000,250.679,-322.328,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
32,2017-11-09 00:00,1.96398,2.92560,3.89151,0.00000,5.83454E-05,0.00000,-73.3427,5.09599E-02,2.64625E-02,0.00000,248.145,-321.565,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
33,2017-11-09 06:00,1.79680,2.84183,3.89151,0.00000,8.56278E-05,0.00000,-69.0195,6.69352E-02,2.82039E-02,67.4250,251.670,-320.784,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
34,2017-11-09 12:00,1.76783,2.82731,3.89151,0.00000,1.0532E-04,0.00000,-65.8043,7.94192E-02,2.80505E-02,9.30000,254.737,-320.649,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
35,2017-11-09 18:00,1.63555,2.76102,3.89151,0.00000,1.17137E-04,0.00000,-65.4558,8.01203E-02,6.76893E-02,0.00000,254.429,-320.032,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
36,2017-11-10 00:00,1.48636,2.68626,3.89151,0.00000,9.711E-05,0.00000,-65.0075,8.14416E-02,3.05663E-02,0.00000,254.218,-319.338,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
37,2017-11-10 06:00,1.33819,2.61201,3.89151,0.00000,1.15663E-04,0.00000,-61.4457,9.21963E-02,6.96933E-02,83.7000,257.042,-318.649,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
38,2017-11-10 12:00,1.35748,2.62168,3.89151,0.365351,1.29987E-02,4.23595E-04,75.1610,80.0465,55.8983,2.32500,257.955,-318.739,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
39,2017-11-10 18:00,2.07569,2.70984,3.98001,0.446665,1.587E-02,0.00000,-28.1722,56.0998,-13.7684,0.00000,251.584,-322.088,1.56544,0.510651,0.183565,3.90147,0.467241,0.00000,0.00000,0.00000,0.00000
40,2017-11-11 00:00,2.67711,2.67711,2.67711,0.456992,1.62182E-02,0.00000,-57.7835,38.3462,-19.8747,0.00000,248.657,-324.912,4.50000,0.500000,2.70252,4.03365,-0.548136,0.00000,0.00000,0.00000,0.00000
41,2017-11-11 06:00,2.61170,2.61170,2.61170,0.428595,1.52123E-02,0.00000,-48.2001,44.4906,-19.1716,134.850,251.085,-324.604,4.50000,0.500000,2.62849,4.04622,-0.595968,0.00000,0.00000,0.00000,0.00000
42,2017-11-11 12:00,2.68593,2.68593,2.68593,0.313134,1.11126E-02,0.00000,-44.1225,45.2166,-19.2639,9.30000,254.879,-324.954,4.50000,0.500000,2.57070,4.05700,-0.582412,0.00000,0.00000,0.00000,0.00000
43,2017-11-11 18:00,2.64504,2.64504,2.64504,0.306922,1.0893E-02,0.00000,-30.7231,34.4337,11.4207,0.00000,248.184,-324.761,4.50000,0.500000,2.52066,4.06697,-0.616005,0.00000,0.00000,0.00000,0.00000
44,2017-11-12 00:00,2.61064,2.61064,2.61064,0.302450,1.0735E-02,0.00000,-72.9212,24.5191,-18.2204,0.00000,245.379,-324.599,4.50000,0.500000,2.48950,4.07350,-0.641672,0.00000,0.00000,0.00000,0.00000
45,2017-11-12 06:00,2.52803,2.52803,2.52803,0.230843,8.19475E-03,1.22464E-03,-28.6559,32.8709,11.0012,151.125,251.682,-324.210,4.50000,0.500000,2.41238,4.09015,-0.707118,0.00000,0.00000,0.00000,0.00000
46,2017-11-12 12:00,2.64025,2.64025,2.64025,0.00000,8.04336E-05,0.00000,-68.2295,4.52402E-02,1.39585E-02,9.30000,256.450,-324.739,4.50000,0.500000,2.37354,4.09909,-0.671168,0.00000,0.00000,0.00000,0.00000
47,2017-11-12 18:00,2.52421,2.57192,2.64025,0.00000,6.68059E-05,0.00000,-76.8743,3.48818E-02,1.58751E-02,0.00000,247.267,-324.192,0.800165,0.500000,2.36837,4.10032,-0.673199,0.00000,0.00000,0.00000,0.00000
48,2017-11-13 00:00,2.34242,2.48483,2.64025,0.00000,8.14607E-05,0.00000,-79.3719,2.902E-02,1.8781E-02,0.00000,243.918,-323.338,0.196650,0.500000,2.37239,4.09936,-0.671620,0.00000,0.00000,0.00000,0.00000
49,2017-11-13 06:00,2.15407,2.39489,2.64025,0.00000,9.16472E-05,0.00000,-76.0387,4.12951E-02,2.19821E-02,146.475,246.353,-322.455,4.21266E-02,0.500000,2.37639,4.09841,-0.670050,0.00000,0.00000,0.00000,0.00000
50,2017-11-13 12:00,2.25793,2.44848,2.64025,0.00000,8.92013E-05,0.00000,-75.0434,4.51994E-02,-1.67425E-02,6.97500,247.870,-322.942,1.44376E-02,0.500000,2.23578,4.13169,-0.728447,0.00000,0.00000,0.00000,0.00000
51,2017-11-13 18:00,2.10142,2.37020,2.64025,0.115909,4.11803E-03,0.00000,-79.3790,7.90047,-5.63969,0.00000,240.568,-322.208,1.06462E-02,0.500000,2.23331,4.13233,-0.729566,0.00000,0.00000,0.00000,0.00000
52,2017-11-14 00:00,2.04680,2.28032,2.61991,0.112423,3.99459E-03,0.00000,-86.8829,2.82407,-5.14530,0.00000,237.391,-321.952,0.848425,0.502128,2.22040,4.13567,-0.745458,0.00000,0.00000,0.00000,0.00000
53,2017-11-14 06:00,1.97773,2.18187,2.59577,0.226480,8.04832E-03,0.00000,-52.8463,30.8569,-8.72210,137.175,246.648,-321.629,1.55519,0.504744,2.20466,4.13978,-0.764771,0.00000,0.00000,0.00000,0.00000
54,2017-11-14 12:00,2.16592,2.25321,2.66686,0.338303,1.20178E-02,0.00000,-3.27327,49.7111,18.9979,4.65000,250.528,-322.510,2.98817,0.518671,2.13768,4.15744,-0.761439,0.00000,0.00000,0.00000,0.00000
55,2017-11-14 18:00,2.25477,2.25477,2.25477,0.00000,1.09072E-04,0.00000,-70.2856,6.4071E-02,2.26028E-02,0.00000,252.555,-322.927,4.50000,0.500000,1.80664,4.24810,-1.20484,0.00000,0.00000,0.00000,0.00000
56,2017-11-15 00:00,2.11081,2.17583,2.25477,0.00000,9.6387E-05,0.00000,-71.0813,6.0422E-02,2.46882E-02,0.00000,251.086,-322.252,0.435667,0.500000,1.81260,4.24624,-1.19976,0.00000,0.00000,0.00000,0.00000
57,2017-11-15 06:00,1.94154,2.09596,2.25477,0.00000,9.86616E-05,0.00000,-66.4355,7.60893E-02,2.69458E-02,109.275,254.922,-321.460,6.30745E-02,0.500000,1.81854,4.24439,-1.19473,0.00000,0.00000,0.00000,0.00000
58,2017-11-15 12:00,1.99744,2.12564,2.25477,0.00000,8.88203E-05,0.00000,-65.2649,8.21747E-02,6.48853E-02,6.97500,256.310,-321.722,1.63004E-02,0.500000,1.73507,4.27029,-1.26850,0.00000,0.00000,0.00000,0.00000
59,2017-11-15 18:00,1.86449,2.05916,2.25477,0.00000,7.24528E-05,0.00000,-67.1391,7.45062E-02,6.68823E-02,0.00000,253.820,-321.100,1.0925E-02,0.500000,1.73564,4.27011,-1.26797,0.00000,0.00000,0.00000,0.00000
60,2017-11-16 00:00,1.71420,1.98388,2.25477,0.00000,5.87618E-05,0.00000,-66.9819,7.43295E-02,6.86722E-02,0.00000,253.274,-320.399,1.01934E-02,0.500000,1.74190,4.26811,-1.26216,0.00000,0.00000,0.00000,0.00000
61,2017-11-16 06:00,1.56430,1.90877,2.25477,0.00000,8.54996E-05,0.00000,-63.9148,8.53193E-02,7.03237E-02,120.900,255.630,-319.700,1.00544E-02,0.500000,1.74812,4.26611,-1.25642,0.00000,0.00000,0.00000,0.00000
62,2017-11-16 12:00,1.65155,1.95249,2.25477,0.00000,9.23124E-05,0.00000,-64.8807,8.23799E-02,6.86868E-02,6.97500,255.075,-320.107,1.00086E-02,0.500000,1.65569,4.29559,-1.34600,0.00000,0.00000,0.00000,0.00000
63,2017-11-16 18:00,1.51992,1.88653,2.25477,0.00000,1.0697E-04,0.00000,-68.8197,6.68366E-02,3.14083E-02,0.00000,250.576,-319.494,1.00012E-02,0.500000,1.65665,4.29527,-1.34502,0.00000,0.00000,0.00000,0.00000
64,2017-11-17 00:00,1.36604,1.80942,2.25477,0.00000,9.94599E-05,0.00000,-66.8485,7.38851E-02,3.31835E-02,0.00000,251.823,-318.779,1.00001E-02,0.500000,1.66327,4.29309,-1.33823,0.00000,0.00000,0.00000,0.00000
65,2017-11-17 06:00,1.21663,1.73455,2.25477,0.00000,1.0153E-04,0.00000,-64.1640,8.36781E-02,3.53911E-02,148.800,253.802,-318.085,1E-02,0.500000,1.66986,4.29092,-1.33153,0.00000,0.00000,0.00000,0.00000
66,2017-11-17 12:00,1.35660,1.80469,2.25477,0.00000,8.66583E-05,0.00000,-66.5002,7.51954E-02,3.38639E-02,6.97500,252.125,-318.735,1E-02,0.500000,1.55525,4.32852,-1.45606,0.00000,0.00000,0.00000,0.00000
67,2017-11-17 18:00,1.22153,1.73701,2.25477,0.00000,9.84702E-05,0.00000,-71.2717,5.52274E-02,-3.39244E-03,0.00000,246.784,-318.108,1E-02,0.500000,1.55674,4.32801,-1.45431,0.00000,0.00000,0.00000,0.00000
68,2017-11-18 00:00,1.06230,1.65721,2.25477,0.306876,1.09244E-02,0.00000,-30.4551,43.5447,-1.75788,0.00000,245.128,-317.370,1E-02,0.500000,1.56390,4.32557,-1.44595,0.00000,0.00000,0.00000,0.00000
69,2017-11-18 06:00,1.35784,1.62406,2.37807,0.474808,1.68931E-02,0.00000,-20.1956,55.3814,-5.44215,74.4000,248.606,-318.740,2.19023,0.508380,1.63253,4.30223,-1.28707,0.00000,0.00000,0.00000,0.00000
70,2017-11-18 12:00,1.67343,1.67343,1.67343,0.336662,1.19708E-02,0.00000,-28.2828,51.1610,-8.84506,0.00000,249.610,-320.209,4.50000,0.500000,1.19342,4.44781,-2.53861,0.00000,0.00000,0.00000,0.00000
71,2017-11-18 18:00,1.64400,1.64400,1.64400,0.336891,1.19796E-02,0.00000,-39.4784,41.9426,-8.63219,0.00000,247.283,-320.072,4.50000,0.500000,1.19453,4.44740,-2.56278,0.00000,0.00000,0.00000,0.00000
72,2017-11-19 00:00,1.60181,1.60181,1.60181,0.386233,1.37353E-02,0.00000,-40.3190,39.4390,-8.73585,0.00000,248.853,-319.875,4.50000,0.500000,1.19159,4.44849,-2.60877,0.00000,0.00000,0.00000,0.00000
